division,name,city,gender,age,official,bib,overall,state,genderdiv,net,country
845      / 1311,"Wright, Stephen M.",Portland,M,56,242.88,8499,8827     / 13408,OR,6180     / 8594,236.13,USA
503      / 3254,"Rabon, Jaime",Beaverton,F,23,213.50,8500,4669     / 13408,OR,612      / 4814,208.67,USA
802      / 3254,"O'Flynn, Aine T.",Toronto,F,32,220.53,8502,5642     / 13408,ON,962      / 4814,215.05,CAN
557      / 3254,"Picard, Barbara O.",Yardley,F,37,214.93,8503,4862     / 13408,PA,678      / 4814,209.65,USA
1054     / 1311,"Stallings, Michael R.",Floyds Knobs,M,52,270.52,8504,11108    / 13408,IN,7317     / 8594,264.22,USA
862      / 1311,"Kelly, Bill P.",Richmond,M,53,244.12,8505,8959     / 13408,VA,6237     / 8594,237.92,USA
722      / 3254,"Kirkey, Kandace L.",Royal Oak,F,30,218.93,8506,5406     / 13408,MI,868      / 4814,213.07,USA
467      / 3254,"Gardner, Molly E.",Nashville,F,23,212.58,8508,4531     / 13408,TN,568      / 4814,207.77,USA
817      / 1311,"Cate, David N.",Kennebunk,M,51,240.48,8510,8537     / 13408,ME,6052     / 8594,234.82,USA
624      / 1311,"Dense, Chas A.",Juneau,M,50,227.90,8511,6765     / 13408,AK,5258     / 8594,222.22,USA
1483     / 3254,"Stasiak, Brooke M.",Los Altos,F,38,232.55,8512,7452     / 13408,CA,1851     / 4814,226.10,USA
541      / 1311,"Shipley, William W. V",Dallas,M,51,223.47,8513,6083     / 13408,TX,4926     / 8594,217.48,USA
634      / 3254,"Bansemir, Anne D.",Highland Park,F,32,216.85,8514,5118     / 13408,NJ,767      / 4814,210.78,USA
546      / 3254,"McCormack, Shana",Brookline,F,23,214.68,8515,4837     / 13408,MA,667      / 4814,209.65,USA
2737     / 3254,"Stock, Jennifer M.",Oakland,F,33,278.87,8516,11577    / 13408,CA,4013     / 4814,273.57,USA
305      / 3254,"Lancaster, Diane H.",Charlotte,F,35,207.27,8517,3760     / 13408,NC,371      / 4814,201.62,USA
889      / 3254,"Pearson, Suan",Brookline,F,33,222.40,8518,5923     / 13408,MA,1076     / 4814,217.02,USA
22       / 257,"Dervin, Larry J.",Encino,M,64,213.75,8519,4699     / 13408,CA,4076     / 8594,208.05,USA
680      / 1311,"Webster, Skip L.",Nine Mile Falls,M,50,230.82,8521,7195     / 13408,WA,5465     / 8594,224.32,USA
1458     / 3254,"Krammer, Karen A.",New Berlin,F,29,232.00,8522,7378     / 13408,WI,1812     / 4814,227.20,USA
720      / 1311,"Bullock, Chris R.",N Aurora,M,50,232.92,8523,7522     / 13408,IL,5633     / 8594,227.27,USA
423      / 1311,"Housaman, Jay A.",Woodbridge,M,54,218.10,8524,5286     / 13408,VA,4463     / 8594,212.47,USA
672      / 3254,"Mulder, Cara J.",Prinsburg,F,26,217.78,8525,5245     / 13408,MN,810      / 4814,212.38,USA
995      / 1311,"Ringle, John C.",Columbus,M,50,262.20,8526,10540    / 13408,OH,7007     / 8594,256.27,USA
923      / 3254,"Beals, Susan M.",Wilmington,F,31,223.08,8527,6015     / 13408,MA,1123     / 4814,217.57,USA
673      / 3254,"Mulder, Janey R.",Maple Grove,F,24,217.78,8528,5246     / 13408,MN,811      / 4814,212.38,USA
901      / 3254,"Montes, Monica F.",Houston,F,36,222.65,8529,5955     / 13408,TX,1095     / 4814,216.72,USA
622      / 1311,"Devoe, Ron C.",Peabody,M,50,227.78,8530,6751     / 13408,MA,5250     / 8594,222.97,USA
743      / 3254,"Macknight, Danielle K.",Brookline,F,27,219.42,8532,5471     / 13408,MA,893      / 4814,214.07,USA
729      / 3254,"Meils, Lisa A.",Troy,F,38,219.05,8533,5424     / 13408,MI,876      / 4814,213.82,USA
139      / 1263,"Prystas, Elizabeth M.",Salt Lake City,F,41,220.08,8534,5582     / 13408,UT,932      / 4814,215.00,USA
799      / 3254,"Takashiba, Susan H.",Toronto,F,36,220.45,8535,5635     / 13408,ON,959      / 4814,214.87,CAN
38       / 257,"O'Connell, Ed J.",Branford,M,61,221.20,8536,5743     / 13408,CT,4737     / 8594,220.35,USA
1010     / 1311,"Douglas, Don S.",Niagara Falls,M,53,264.18,8537,10698    / 13408,ON,7086     / 8594,259.45,CAN
1060     / 3254,"Noone, Kateri M.",Beverly,F,25,225.32,8538,6365     / 13408,MA,1292     / 4814,219.22,USA
212      / 1311,"DeLeon, Ovidio L.",Chicago,M,52,207.13,8540,3743     / 13408,IL,3377     / 8594,201.65,USA
747      / 1311,"Miller, Gregory K.",Augusta,M,52,235.02,8541,7801     / 13408,GA,5759     / 8594,229.12,USA
776      / 1311,"Marsh, Edward M. Jr.",Charlotte,M,54,236.85,8542,8060     / 13408,NC,5858     / 8594,232.02,USA
786      / 1311,"Beville, Don J.",Chesterfield,M,53,238.05,8543,8216     / 13408,VA,5912     / 8594,233.32,USA
907      / 3254,"Phillips, Jennifer L.",Vernon Hills,F,29,222.72,8544,5966     / 13408,IL,1103     / 4814,217.32,USA
1322     / 3254,"Schneider, Silke",Wellendingen,F,34,229.67,8546,7005     / 13408,,1628     / 4814,224.77,GER
766      / 3254,"Piper, Jennifer L.",Medina,F,25,219.90,8547,5542     / 13408,OH,917      / 4814,214.52,USA
774      / 1311,"Brennan, Michael J.",Peterbrough,M,50,236.65,8548,8032     / 13408,ON,5849     / 8594,230.60,CAN
541      / 3254,"Tiscareno, Martha",Pico Rivera,F,33,214.57,8549,4824     / 13408,CA,660      / 4814,208.87,USA
2138     / 3254,"Gazzo, Peg S.",Missoula,F,38,248.47,8550,9407     / 13408,MT,2964     / 4814,243.35,USA
42       / 1263,"Fujita, Yumiko",Ibaraki,F,40,201.75,8552,3035     / 13408,,229      / 4814,196.78,JPN
949      / 1311,"Parente, Michael K.",Philadelphia,M,52,253.95,8553,9950     / 13408,PA,6722     / 8594,247.90,USA
410      / 1311,"Zwick, Daniel S.",Sankt Augustin,M,50,217.48,8555,5210     / 13408,,4412     / 8594,212.80,GER
181      / 1263,"Blackmore, Carolyn S.",Idaho Falls,F,44,222.90,8556,5987     / 13408,ID,1115     / 4814,214.63,USA
877      / 1311,"Geyer, John W. Sr.",Green Bay,M,51,245.00,8557,9049     / 13408,WI,6274     / 8594,240.32,USA
260      / 1263,"Beasley, Joann L.",Orland,F,46,228.08,8558,6795     / 13408,CA,1524     / 4814,223.30,USA
678      / 1311,"Kuno, Masaaki",Tokorozawa-Shi,M,58,230.78,8559,7184     / 13408,,5458     / 8594,225.72,JPN
654      / 1311,"Wieman, Richard L.",Columbia,M,51,229.72,8560,7015     / 13408,MO,5380     / 8594,224.53,USA
473      / 3254,"Caesar, Karen M.",Collingwood,F,37,212.72,8562,4548     / 13408,ON,576      / 4814,207.37,CAN
636      / 1311,"Scott, Geoffrey G.",Darien,M,52,228.67,8563,6863     / 13408,CT,5306     / 8594,223.48,USA
772      / 1311,"Koster, Chris",St Albert,M,50,236.50,8564,8018     / 13408,AB,5842     / 8594,230.72,CAN
771      / 1311,"Cabrol, Gerard L.",Washington,M,52,236.42,8565,8004     / 13408,DC,5835     / 8594,230.90,USA
1477     / 3254,"Jones, Emily M.",Worcester,F,23,232.42,8566,7426     / 13408,MA,1840     / 4814,227.02,USA
773      / 1311,"Bonenberg, Robert W.",Greenfield Park,M,51,236.65,8567,8031     / 13408,PQ,5848     / 8594,231.22,CAN
315      / 1311,"Weygandt, Neil",Drexill Hill,M,54,212.87,8568,4570     / 13408,PA,3987     / 8594,211.32,USA
1156     / 3254,"Morgan, Juliet M.",Boston,F,34,226.70,8569,6585     / 13408,MA,1412     / 4814,222.10,USA
